"day","animal population","grass population","AVG energy","AVG life time","AVG children number"
"0","30","30","30.0","0.0","0.0"
"1","30","32","29.0","0.0","0.0"
"2","30","34","28.0","0.0","0.0"
"3","30","36","27.0","0.0","0.0"
"4","31","38","25.193548","0.0","0.032258064"
"5","32","40","23.46875","0.0","0.0625"
"6","33","41","22.09091","0.0","0.09090909"
"7","35","43","19.914286","0.0","0.14285715"
"8","36","45","18.416666","0.0","0.16666667"
"9","36","47","17.416666","0.0","0.16666667"
"10","38","49","15.631579","0.0","0.21052632"
"11","38","51","14.631579","0.0","0.21052632"
"12","38","53","13.631579","0.0","0.21052632"
"13","39","55","12.307693","0.0","0.23076923"
"14","39","57","11.307693","0.0","0.23076923"
"15","38","59","10.605263","9.0","0.23684211"
"16","37","61","9.8918915","8.5","0.24324325"
"17","36","63","9.166667","8.333333","0.25"
"18","34","65","8.705882","9.0","0.2647059"
"19","31","67","8.548388","10.75","0.22580644"
"20","30","69","7.8333335","11.666667","0.2"
"21","25","71","8.4","13.928572","0.08"
"22","24","73","7.75","13.533334","0.083333336"
"23","23","75","7.0869565","14.0625","0.04347826"
"24","23","77","6.0869565","14.0625","0.04347826"
"25","23","79","5.0869565","14.0625","0.04347826"
"26","23","81","4.0869565","14.0625","0.04347826"
"27","21","83","3.4761906","15.388889","0.0"
"28","21","85","2.4761906","15.388889","0.0"
"29","21","86","1.9523809","15.388889","0.0"
"30","21","88","0.95238096","15.388889","0.0"
"31","2","90","9.0","22.891891","0.0"
"32","2","92","8.0","22.891891","0.0"
"33","2","94","7.0","22.891891","0.0"
"34","2","96","6.0","22.891891","0.0"
"35","2","98","5.0","22.891891","0.0"
"36","2","100","4.0","22.891891","0.0"
"37","2","102","3.0","22.891891","0.0"
"38","2","104","2.0","22.891891","0.0"
"39","2","106","1.0","22.891891","0.0"
"40","2","108","0.0","22.891891","0.0"
"AVG","23","68","11.100423","10.5228405","0.08567852"
