"day","animal population","grass population","AVG energy","AVG life time","AVG children number"
"0","30","30","30.0","0.0","0.0"
"1","30","32","29.0","0.0","0.0"
"2","30","34","28.0","0.0","0.0"
"3","30","36","27.0","0.0","0.0"
"4","30","37","26.333334","0.0","0.0"
"5","30","38","25.666666","0.0","0.0"
"6","30","40","24.666666","0.0","0.0"
"7","31","42","22.935484","0.0","0.032258064"
"8","32","44","21.25","0.0","0.0625"
"9","32","46","20.25","0.0","0.0625"
"10","32","47","19.5625","0.0","0.0625"
"11","32","49","18.5625","0.0","0.0625"
"12","32","50","17.875","0.0","0.0625"
"13","32","52","16.875","0.0","0.0625"
"14","32","53","16.1875","0.0","0.0625"
"15","32","55","15.1875","0.0","0.0625"
"16","32","56","14.5","0.0","0.0625"
"17","32","58","13.5","0.0","0.0625"
"18","32","59","12.8125","0.0","0.0625"
"19","31","61","12.225806","11.0","0.06451613"
"20","31","62","11.548388","11.0","0.06451613"
"21","31","64","10.548388","11.0","0.06451613"
"22","29","66","10.275862","17.666666","0.0"
"23","29","68","9.275862","17.666666","0.0"
"24","29","70","8.275862","17.666666","0.0"
"25","29","71","7.62069","17.666666","0.0"
"26","29","73","6.62069","17.666666","0.0"
"27","29","75","5.62069","17.666666","0.0"
"28","29","77","4.62069","17.666666","0.0"
"29","29","79","3.6206896","17.666666","0.0"
"30","29","80","2.9655173","17.666666","0.0"
"31","8","82","9.75","28.458334","0.0"
"32","8","84","8.75","28.458334","0.0"
"33","8","86","7.75","28.458334","0.0"
"34","8","88","6.75","28.458334","0.0"
"35","8","90","5.75","28.458334","0.0"
"36","8","92","4.75","28.458334","0.0"
"37","8","94","3.75","28.458334","0.0"
"38","8","95","4.0","28.458334","0.0"
"39","8","96","4.25","28.458334","0.0"
"40","8","98","3.25","28.458334","0.0"
"41","2","100","12.0","30.766666","0.0"
"42","2","102","11.0","30.766666","0.0"
"43","2","104","10.0","30.766666","0.0"
"44","2","106","9.0","30.766666","0.0"
"45","2","108","8.0","30.766666","0.0"
"46","2","110","7.0","30.766666","0.0"
"47","2","112","6.0","30.766666","0.0"
"48","2","114","5.0","30.766666","0.0"
"49","2","116","4.0","30.766666","0.0"
"50","2","118","3.0","30.766666","0.0"
"51","1","120","5.0","31.387096","0.0"
"52","1","122","4.0","31.387096","0.0"
"53","1","124","3.0","31.387096","0.0"
"54","1","126","2.0","31.387096","0.0"
"55","1","128","1.0","31.387096","0.0"
"56","1","130","0.0","31.387096","0.0"
"AVG","18","78","11.265505","17.062677","0.016022919"
